序号,收寄省,收寄市,寄达省,寄达市,线路,高德里程,四象限线路类型,线路类别,"特快标准
（T+N）","行业时效产品
80%时限水平（T+N)",特快标准对比行业80%邮件时限水平,特快标准对比行业时限众数,"快包标准
（T+N）","行业非时效产品
80%时限水平（T+N)",快包标准对比行业非时效80%邮件时限水平,快包标准对比行业时限众数,行业线路时限众数,特快经转节点数,行业经转节点数,经转次数差异,"特快专递样本量
（件）",特快主要轨迹,行业主要轨迹,"投递天数差
（特快-行业）","特快专递全程时限
（小时）","特快专递全程时限环比
（11月-10月）
（小时）","行业全程时限
（小时）","行业全程时限环比
（11月-10月）
（小时）",特快专递次日递率,"特快专递次日递率环比
（11月-10月）",行业次日递率,"行业次日递率环比
（11月-10月）","特快专递平均天数T+N
（天）","特快专递平均天数T+N环比
（11月-10月）
（天）","行业平均天数T+N
（天）","行业平均天数T+N环比
（11月-10月）
（天）","特快专递收寄时限
（小时）","特快专递收寄时限环比
（11月-10月）
（小时）","特快专递出口段时限
（小时）","特快专递出口段时限环比
（11月-10月）
（小时）","特快专递中转段时限
（小时）","特快专递中转段时限环比
（11月-10月）
（小时）","特快专递进口段时限
（小时）","特快专递进口段时限环比
（11月-10月）
（小时）","特快专递投递时限
（小时）","特快专递投递时限环比
（11月-10月）
（小时）","行业样本量
（件）","行业收寄时限
（小时）","行业出口段时限
（小时）","行业中转段时限
（小时）","行业进口段时限
（小时）","行业投递时限
（小时）","次日递率差
（排序时限）
（特快-行业）","国家邮政局
50重点城市",长三角,珠三角,环渤海,长珠互寄,东三省,中部四省,川渝,行业2025年9月日均业务量估算值（件）,邮政日均业务量,是否够量市场线路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,辽宁省,盘锦市,河北省,张家口市,盘锦市张家口市,760,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.5 ,3.0 ,1.5 ,81,盘锦市-廊坊市-张家口市,盘锦市-北京市-张家口市,1.7 ,65.3 ,-1.9 ,26.6 ,-6.5 ,0.0%,0.0%,95.0%,30.1%,T+2.7,-0.1 ,T+1.1,-0.3 ,4.2 ,-1.2 ,10.1 ,1.5 ,11.4 ,-6.1 ,31.5 ,2.4 ,8.1 ,1.5 ,139,2.2 ,3.8 ,14.7 ,4.0 ,2.0 ,-95.0%,,,,,,,,,500,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,辽宁省,盘锦市,吉林省,辽源市,盘锦市辽源市,390,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.0 ,3.1 ,0.9 ,219,盘锦市-沈阳市-长春市-辽源市,盘锦市-沈阳市-辽源市,1.2 ,49.7 ,1.3 ,21.0 ,-0.1 ,5.0%,-7.3%,100.0%,0.8%,T+2.2,0.1 ,T+1.0,0.0 ,7.1 ,1.5 ,13.9 ,-4.3 ,7.4 ,-0.4 ,18.5 ,4.0 ,2.8 ,0.5 ,67,2.5 ,8.3 ,4.6 ,3.1 ,2.5 ,-95.0%,,,,,,1,,,200,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,河南省,信阳市,河北省,邯郸市,信阳市邯郸市,550,-,省际,1,1,持平,持平,2,1,落后,落后,1,5.1 ,3.2 ,1.9 ,198,信阳市-驻马店市-石家庄市-邯郸市,信阳市-郑州市-邯郸市,1.7 ,64.5 ,-3.6 ,24.8 ,0.2 ,1.5%,0.3%,96.4%,-1.3%,T+2.7,-0.2 ,T+1.0,0.0 ,7.8 ,-0.4 ,17.6 ,-1.9 ,10.3 ,-0.1 ,22.8 ,-0.5 ,6.2 ,-0.6 ,55,1.7 ,10.8 ,4.9 ,4.6 ,2.7 ,-94.9%,,,,,,,,,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,湖北省,鄂州市,河南省,郑州市,鄂州市郑州市,592,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.1 ,2.3 ,0.8 ,684,鄂州市-武汉市-郑州市,鄂州市-武汉市-郑州市,1.3 ,54.1 ,-0.5 ,24.3 ,-1.7 ,0.0%,-0.2%,94.9%,7.2%,T+2.4,0.0 ,T+1.1,-0.1 ,8.0 ,0.0 ,15.1 ,-1.4 ,9.1 ,-0.4 ,16.0 ,0.8 ,5.9 ,0.5 ,780,3.8 ,6.5 ,6.8 ,4.0 ,3.2 ,-94.9%,1,,,,,,1,,"7,900",23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,辽宁省,盘锦市,河北省,唐山市,盘锦市唐山市,438,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.5 ,3.0 ,0.5 ,389,盘锦市-廊坊市-唐山市,盘锦市-北京市-唐山市,1.4 ,56.7 ,-6.5 ,26.5 ,-1.3 ,2.1%,-1.3%,96.9%,6.5%,T+2.4,-0.3 ,T+1.0,-0.1 ,5.2 ,0.0 ,8.6 ,-0.9 ,11.9 ,-4.4 ,25.7 ,-1.5 ,5.3 ,0.3 ,287,2.6 ,4.0 ,15.0 ,3.2 ,1.8 ,-94.8%,,,,,,,,,900,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,安徽省,宣城市,江西省,南昌市,宣城市南昌市,551,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,4.3 ,3.9 ,0.4 ,"1,648",宣城市-芜湖市-鹰潭市-南昌市,宣城市-芜湖市-南昌市,1.3 ,52.3 ,3.7 ,24.7 ,0.3 ,4.0%,-21.7%,98.6%,1.0%,T+2.3,0.2 ,T+1.0,0.0 ,3.5 ,-0.3 ,14.5 ,-1.7 ,8.0 ,-0.4 ,21.1 ,5.8 ,5.2 ,0.2 ,416,3.0 ,8.5 ,7.2 ,3.7 ,2.2 ,-94.6%,,,,,,,,,500,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,吉林省,四平市,辽宁省,营口市,四平市营口市,374,-,省际,2,1,落后,落后,3,1,落后,落后,1,4.2 ,4.1 ,0.1 ,109,四平市-长春市-沈阳市-营口市,四平市-沈阳市-营口市,1.5 ,56.2 ,-1.1 ,23.2 ,0.0 ,2.8%,-2.6%,97.2%,-2.8%,T+2.5,0.0 ,T+1.0,0.0 ,8.4 ,2.4 ,13.8 ,-0.6 ,6.3 ,-0.2 ,23.0 ,-1.2 ,4.8 ,-1.3 ,36,3.2 ,2.4 ,4.4 ,11.3 ,2.0 ,-94.4%,,,,,,1,,,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,广西壮族自治区,桂林市,广东省,珠海市,桂林市珠海市,602,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,3.6 ,3.4 ,0.2 ,130,桂林市-广州市-珠海市,桂林市-广州市-珠海市,1.3 ,53.0 ,-0.2 ,23.7 ,-2.1 ,1.5%,0.2%,95.9%,7.7%,T+2.3,0.0 ,T+1.0,-0.1 ,2.3 ,-0.3 ,11.3 ,0.0 ,8.5 ,0.2 ,24.8 ,-0.2 ,6.1 ,0.2 ,98,2.1 ,4.2 ,7.8 ,7.3 ,2.2 ,-94.4%,,,,,,,,,200,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,山西省,长治市,河南省,商丘市,长治市商丘市,416,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.4 ,4.2 ,-0.8 ,"4,931",长治市-太原市-郑州市-商丘市,长治市-郑州市-商丘市,1.0 ,49.3 ,-1.9 ,27.6 ,2.3 ,0.2%,-0.1%,94.6%,-5.4%,T+2.1,-0.1 ,T+1.1,0.1 ,8.1 ,0.1 ,10.3 ,-0.9 ,8.7 ,0.2 ,18.6 ,-1.3 ,3.6 ,0.0 ,37,4.4 ,3.7 ,4.7 ,12.0 ,2.7 ,-94.4%,,,,,,,,,100,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,辽宁省,朝阳市,河北省,保定市,朝阳市保定市,654,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4.7 ,4.1 ,0.6 ,"2,920",朝阳市-锦州市-廊坊市-保定市,朝阳市-锦州市-北京市-保定市,1.8 ,65.8 ,-17.0 ,27.1 ,-6.2 ,1.3%,-1.0%,95.7%,24.3%,T+2.8,-0.7 ,T+1.0,-0.3 ,6.7 ,-0.8 ,18.9 ,-2.3 ,8.3 ,-5.1 ,22.2 ,-8.6 ,9.7 ,-0.2 ,116,2.4 ,7.4 ,12.4 ,3.5 ,1.4 ,-94.4%,,,,,,,,,100,117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,吉林省,吉林市,黑龙江省,七台河市,吉林市七台河市,590,-,省际,3,1,落后,落后,3,1,落后,落后,1,3.7 ,3.1 ,0.6 ,33,吉林市-长春市-哈尔滨市-七台河市,吉林市-哈尔滨市-七台河市,1.9 ,71.9 ,,26.0 ,,0.0%,,94.3%,,T+3.0,,T+1.1,,1.8 ,,15.8 ,,4.8 ,,28.9 ,,20.7 ,,35,1.6 ,6.9 ,3.9 ,12.0 ,1.6 ,-94.3%,,,,,,1,,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,吉林省,四平市,河北省,秦皇岛市,四平市秦皇岛市,588,-,省际,2,1,落后,落后,3,1,落后,落后,1,5.0 ,3.3 ,1.7 ,35,四平市-长春市-廊坊市-秦皇岛市,四平市-沈阳市-秦皇岛市,1.7 ,62.2 ,-8.3 ,24.6 ,-5.6 ,5.7%,0.6%,100.0%,28.6%,T+2.7,-0.3 ,T+1.0,-0.3 ,7.5 ,1.2 ,13.3 ,-3.0 ,15.0 ,-0.9 ,21.7 ,-2.5 ,4.7 ,-3.1 ,31,2.7 ,2.7 ,14.9 ,3.0 ,1.3 ,-94.3%,,,,,,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,湖北省,孝感市,安徽省,芜湖市,孝感市芜湖市,544,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.4 ,3.2 ,0.2 ,460,孝感市-合肥市-芜湖市,孝感市-武汉市-合肥市-芜湖市,1.7 ,61.8 ,0.5 ,22.6 ,-5.9 ,4.4%,1.9%,98.7%,22.4%,T+2.7,0.0 ,T+1.0,-0.2 ,7.4 ,-0.4 ,17.5 ,-0.2 ,6.3 ,-0.5 ,25.3 ,0.7 ,5.4 ,0.9 ,79,2.5 ,5.0 ,6.5 ,6.4 ,2.3 ,-94.3%,,,,,,,,,400,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,江苏省,镇江市,山东省,枣庄市,镇江市枣庄市,426,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.1 ,3.0 ,1.1 ,"1,547",镇江市-南京市-枣庄市,镇江市-连云港市-枣庄市,1.0 ,47.7 ,-0.1 ,25.7 ,-1.0 ,0.0%,-0.1%,94.3%,7.4%,T+2.1,0.0 ,T+1.1,-0.1 ,1.1 ,-0.4 ,11.2 ,-0.9 ,9.1 ,0.1 ,22.2 ,1.6 ,4.1 ,-0.6 ,88,2.6 ,12.7 ,5.2 ,3.5 ,1.7 ,-94.3%,,,,,,,,,200,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,广西壮族自治区,钦州市,广东省,珠海市,钦州市珠海市,614,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,3.5 ,3.5 ,0.0 ,94,钦州市-广州市-珠海市,钦州市-湛江市-中山市-珠海市,1.1 ,49.8 ,,24.6 ,,3.2%,,97.4%,,T+2.2,,T+1.0,,2.4 ,,10.4 ,,9.3 ,,21.0 ,,6.6 ,,39,2.1 ,4.2 ,7.0 ,9.3 ,2.0 ,-94.2%,,,,,,,,,100,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,安徽省,滁州市,河南省,漯河市,滁州市漯河市,481,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.2 ,3.0 ,1.2 ,477,滁州市-郑州市-驻马店市-漯河市,滁州市-蚌埠市-漯河市,1.3 ,54.8 ,1.4 ,25.2 ,-2.2 ,3.1%,0.2%,97.3%,2.6%,T+2.4,0.1 ,T+1.0,0.0 ,6.3 ,1.8 ,11.9 ,0.6 ,12.1 ,-1.1 ,20.1 ,-0.4 ,4.4 ,0.5 ,37,2.8 ,7.9 ,7.0 ,5.5 ,1.9 ,-94.2%,,,,,,,,,100,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,江苏省,泰州市,河南省,商丘市,泰州市商丘市,542,-,省际,-,1,-,-,2,1,落后,落后,1,3.8 ,3.2 ,0.6 ,"4,754",泰州市-郑州市-商丘市,泰州市-徐州市-商丘市,1.0 ,47.2 ,-0.8 ,27.9 ,-7.7 ,1.6%,0.1%,95.8%,37.8%,T+2.1,0.0 ,T+1.0,-0.4 ,2.0 ,-0.2 ,11.0 ,-0.2 ,11.8 ,-1.0 ,18.6 ,0.2 ,3.8 ,0.3 ,337,3.5 ,14.9 ,4.3 ,3.1 ,2.1 ,-94.2%,,,,,,,,,500,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,湖北省,黄石市,江西省,新余市,黄石市新余市,326,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,3.8 ,2.9 ,0.9 ,"1,995",黄石市-武汉市-南昌市-新余市,黄石市-鄂州市-南昌市-新余市,1.2 ,50.2 ,-1.2 ,29.3 ,-3.0 ,2.7%,2.6%,96.7%,19.3%,T+2.2,-0.1 ,T+1.0,-0.2 ,6.0 ,0.1 ,14.2 ,-0.2 ,7.0 ,-0.1 ,18.2 ,-0.9 ,4.9 ,0.0 ,30,4.9 ,6.5 ,3.6 ,10.3 ,4.0 ,-94.0%,,,,,,,1,,100,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,浙江省,衢州市,江西省,新余市,衢州市新余市,453,-,省际,-,1,-,-,2,1,落后,落后,1,4.4 ,2.3 ,2.1 ,740,衢州市-金华市-鹰潭市-新余市,衢州市-宜春市-新余市,1.0 ,45.7 ,,22.1 ,,6.1%,,100.0%,,T+2.0,,T+1.0,,1.2 ,,10.8 ,,5.4 ,,23.8 ,,4.5 ,,39,2.7 ,3.8 ,5.9 ,6.1 ,3.5 ,-93.9%,,,,,,,,,100,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,湖北省,仙桃市,河南省,商丘市,仙桃市商丘市,616,-,省际,1,1,持平,持平,1,1,持平,持平,1,3.9 ,4.1 ,-0.2 ,100,仙桃市-武汉市-郑州市-商丘市,仙桃市-武汉市-漯河市-商丘市,1.2 ,52.3 ,,29.0 ,,1.0%,,94.9%,,T+2.2,,T+1.1,,3.0 ,,17.5 ,,9.4 ,,18.6 ,,3.8 ,,39,3.5 ,7.5 ,6.0 ,10.2 ,1.7 ,-93.9%,,,,,,,1,,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,黑龙江省,绥化市,吉林省,吉林市,绥化市吉林市,386,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4.2 ,3.7 ,0.5 ,327,绥化市-哈尔滨市-长春市-吉林市,绥化市-哈尔滨市-长春市-吉林市,1.1 ,50.1 ,1.1 ,22.6 ,-1.7 ,3.4%,-3.4%,97.3%,2.1%,T+2.2,0.1 ,T+1.0,0.0 ,4.7 ,-0.3 ,14.9 ,1.3 ,7.3 ,0.1 ,19.3 ,-0.2 ,3.9 ,0.2 ,257,1.8 ,8.0 ,3.7 ,6.2 ,3.0 ,-93.9%,,,,,,1,,,200,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,安徽省,铜陵市,江苏省,盐城市,铜陵市盐城市,457,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.1 ,2.7 ,1.4 ,170,铜陵市-芜湖市-淮安市-盐城市,铜陵市-芜湖市-盐城市,1.3 ,52.0 ,6.9 ,24.6 ,-0.7 ,2.4%,-30.9%,96.3%,1.0%,T+2.3,0.4 ,T+1.0,0.0 ,2.6 ,0.8 ,13.6 ,-0.3 ,6.1 ,0.3 ,25.7 ,5.8 ,4.0 ,0.3 ,81,3.7 ,6.0 ,6.7 ,5.9 ,2.3 ,-93.9%,,1,,,,,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,江苏省,淮安市,山东省,东营市,淮安市东营市,517,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.9 ,3.0 ,0.9 ,321,淮安市-青岛市-东营市,淮安市-连云港市-滨州市-东营市,1.1 ,48.5 ,0.9 ,25.4 ,0.5 ,0.0%,0.0%,93.9%,-1.3%,T+2.1,0.0 ,T+1.1,0.0 ,2.4 ,0.0 ,10.2 ,0.4 ,7.3 ,0.6 ,25.0 ,-0.8 ,3.6 ,0.7 ,131,1.9 ,11.9 ,5.9 ,3.4 ,2.3 ,-93.9%,,,,,,,,,300,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,福建省,厦门市,广东省,汕尾市,厦门市汕尾市,429,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.2 ,3.0 ,0.2 ,"2,269",厦门市-广州市-汕尾市,厦门市-揭阳市-汕尾市,1.1 ,51.2 ,-1.4 ,26.2 ,-0.9 ,0.3%,-0.4%,94.2%,3.3%,T+2.2,0.0 ,T+1.1,0.0 ,2.9 ,-0.1 ,8.2 ,-0.6 ,10.5 ,1.0 ,24.9 ,-0.8 ,4.8 ,-0.9 ,223,3.3 ,6.5 ,5.4 ,7.7 ,3.4 ,-93.9%,,,,,,,,,400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,湖北省,荆州市,河南省,开封市,荆州市开封市,625,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.1 ,2.5 ,1.6 ,176,荆州市-郑州市-开封市,荆州市-武汉市-郑州市-开封市,1.4 ,56.2 ,2.1 ,25.0 ,-1.0 ,0.0%,-1.2%,93.9%,2.5%,T+2.5,0.1 ,T+1.1,0.0 ,7.2 ,-0.3 ,14.9 ,1.9 ,10.9 ,-0.1 ,19.4 ,0.8 ,3.8 ,-0.1 ,49,2.4 ,7.6 ,7.9 ,4.1 ,3.1 ,-93.9%,,,,,,,1,,100,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,山东省,日照市,河南省,鹤壁市,日照市鹤壁市,552,-,省际,2,1,落后,落后,2,1,落后,落后,1,5.4 ,3.4 ,2.0 ,92,日照市-青岛市-南京市-郑州市-鹤壁市,日照市-郑州市-安阳市-鹤壁市,1.0 ,48.1 ,-0.3 ,28.7 ,-4.3 ,0.0%,-1.3%,93.8%,16.4%,T+2.1,-0.1 ,T+1.1,-0.2 ,2.4 ,0.8 ,11.2 ,-1.9 ,8.1 ,-1.2 ,21.4 ,1.0 ,5.0 ,1.0 ,48,2.6 ,7.0 ,9.2 ,8.3 ,1.6 ,-93.8%,,,,,,,,,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
